Player,GP,TOI,GAR/60
MIKAEL.BACKLUND,242,4406.96,0
MIKAEL.GRANLUND,245,4578.92,0.18
MIKA.ZIBANEJAD,220,4104.32,0.32
MIKE.CAMMALLERI,127,1967.58,0.04
MIKE.FISHER,120,1874.5,0.04
MIKE.GREEN,180,4063.93,0
MIKE.HOFFMAN,255,4588.31,0.22
MIKE.MATHESON,154,3353.27,-0.04
MIKE.REILLY,131,2127.87,-0.09
MIKE.RIBEIRO,46,734.62,-0.14
MIKHAIL.GRIGORENKO,75,1056.68,-0.04
MIKHAIL.SERGACHEV,170,2746.98,0.04
MIKKEL.BOEDKER,236,3288.8,-0.04
MIKKO.KOIVU,220,4113.64,0.22
MIKKO.RANTANEN,235,4520.6,0.27
MILAN.LUCIC,255,3967.9,-0.04
MILES.WOOD,202,2601.83,0.04
MIRCO.MUELLER,83,1460.21,-0.09
MIRO.HEISKANEN,80,1852.4,0
MITCH.MARNER,252,4451.94,0
MORGAN.RIELLY,245,5478.92,0.04
NAIL.YAKUPOV,98,1054.5,0.09
NATE.PROSSER,119,1516.53,0.04
NATE.SCHMIDT,226,4566.08,0.09
NATE.THOMPSON,196,2419.28,-0.22
NATHAN.BEAULIEU,184,3182.45,-0.09
NATHAN.MACKINNON,240,4946.76,0.63
NAZEM.KADRI,244,4040.92,0.4
NEAL.PIONK,99,2131.6,-0.14
NIC.DOWD,187,2087.59,0.14
NICK.BJUGSTAD,198,2885.26,0.14
NICK.BONINO,263,4287.16,0.04
NICK.COUSINS,210,2705.82,0.18
NICK.FOLIGNO,232,4248.38,0.04
NICK.HOLDEN,225,4347.67,0.14
NICK.JENSEN,206,3700.36,0.09
NICK.LAPPIN,54,654.57,-0.18
NICKLAS.BACKSTROM,273,5311.52,0.27
NICK.LEDDY,240,5337.75,-0.14
NICK.RITCHIE,230,3121.68,-0.04
NICK.SCHMALTZ,183,3005.66,0.04
NICK.SEELER,97,1270.42,0.04
NICK.SHORE,134,1801.98,0.04
NICO.HISCHIER,154,2633.67,0.32
NICOLAS.DESLAURIERS,147,1454.54,-0.04
NIC.PETAN,87,852.25,-0.22
NIKITA.KUCHEROV,251,4927.57,0.9
NIKITA.NESTEROV,50,810.62,-0.04
NIKITA.SOSHNIKOV,71,772.77,-0.14
NIKITA.TRYAMKIN,66,1104.85,-0.09
NIKITA.ZADOROV,206,3837.87,-0.18
NIKITA.ZAITSEV,233,5008.25,-0.09
NIKLAS.HJALMARSSON,204,4211.47,0.09
NIKLAS.KRONWALL,212,4090.6,0
NIKOLAJ.EHLERS,239,3938.38,0.36
NIKOLAY.GOLDOBIN,114,1555.67,-0.04
NIKOLAY.KULEMIN,85,1150.03,0.18
NINO.NIEDERREITER,234,3613.28,0.36
