"id","name","gamesPlayed","timeOnIce","garSixty"
"8a8446bb-29ce-47d7-a143-6cc1da23e49e","filip chytil","84","1156.43","-0.04"
"239d5d16-d056-4782-9c9e-6aec252a5647","filip forsberg","245","4492.61","0.32"
"0fe45266-c873-43ab-9654-23f2bab3eb4e","filip hronek","44","878.77","0.04"
"3814f4c2-5297-400f-b9c1-49cc1ff7f65e","frank vatrano","170","2267.46","0.14"
"a1ebbe3a-b41e-4e34-9966-12d7cc8ed33b","frans nielsen","229","3789.7","0.09"
"b2c5de09-6e0d-4a70-98ae-fa542c757733","frederick gaudreau","91","839.55","0.36"
"b713c9d0-a05d-4a8c-af42-f07526b94b79","frederik gauthier","98","846.71","0"
"23948904-b0c1-4982-86e6-604c895c10db","fredrik claesson","147","2240.5","0.09"
"b289ad88-b881-4e05-b9a0-f4614e966efe","gabriel bourque","116","1202.85","-0.27"
"359c1e12-848d-4052-b830-5835b28bcff8","gabriel dumont","69","648.4","0.14"
"812c7a40-e394-40e6-9dc1-78e1623354e2","gabriel landeskog","226","4517.17","0.18"
"877dea42-4df4-496e-a671-25b9d064c121","garnet hathaway","159","1692.15","0.04"
"6d2657a3-e9a8-4a48-aac6-3064228832b0","gemel smith","80","807.05","0.09"
"aa372e16-0b35-45ac-b24f-1ab5ba3d6251","greg mckegg","111","1130.14","0"
"a7622cf3-0a47-431d-9d6f-3f8769241232","greg pateryn","187","3316.86","0.09"
"7bdb5cd8-191e-4e14-8072-3238c7a5afdd","gustav forsling","119","2030.02","-0.22"
"5072b538-c2a3-47ef-b68a-705ce83e12ea","gustav nyquist","236","4163.23","0.18"
"d3a5b990-589a-43b8-aafd-5319995770b2","gustav olofsson","54","699","0.32"
"eecaf674-159c-469d-bd3f-e8e1d53a3a3e","hampus lindholm","230","5299.8","0.04"
"6ed8092e-e901-42d6-9e7c-ca20cbee92c5","haydn fleury","85","1351.29","-0.18"
"c6f464a5-cfe6-4aff-ab05-7c7981fbf16f","henri jokiharju","37","704.22","-0.14"
"d0ea0589-0f15-4436-a0f4-107bc273e7a2","henrik borgstrom","48","580.58","0.22"
"bb72860c-c0cb-45a1-975e-09e17ccf5b2e","ian cole","246","4707.92","-0.04"
"9f4115d9-ff18-4589-beba-a1789c2d2e35","ian mccoshen","57","825.95","-0.09"
"f4457218-3fbb-411f-a650-bfcc91484d3b","ilya kovalchuk","62","1007.57","-0.27"
"3d3034ca-c632-47b3-890f-5e47f6da9745","ilya lyubushkin","40","547.3","-0.14"
"2eb292dc-2bc8-464d-a731-f4660a596528","ivan barbashev","167","1972.55","0.22"
"80338440-2e9c-4c8a-a061-313b044b138e","ivan provorov","249","5915.18","-0.09"
"ba638262-a4ff-4ca6-a1d8-3c2d6abf070a","jaccob slavin","243","5589.37","0.14"
"a953db5f-271c-4a1d-afb8-a2a9dd219c02","jack eichel","203","4097.18","0.22"
"70dd1410-32cf-46c9-8a28-a12c5a94d6e6","jack johnson","244","4971.47","-0.09"
"3f956abe-dcff-4122-be66-1d5306fe6724","jack roslovic","116","1219.18","0.18"
"f4596b85-9faf-422b-ac18-249e0b812cd6","jacob de la rose","124","1436.19","-0.22"
"1faac6d5-beff-4dfc-961a-e63bc60a6ab5","jacob larsson","47","802.97","-0.18"
"26b20a8c-86cc-42fe-970c-cdb1ba7d152f","jacob trouba","212","4900.99","0"
"eebf0bd7-a832-4299-b0a7-8c0de01ff08a","jaden schwartz","218","4130.86","0.27"
"72b09b42-f4b1-4fb0-bc9e-2d393b0e1ab8","jake debrusk","148","2248","0.54"
"f096f8c5-b123-4e33-b0ce-b514e7316d82","jake gardiner","237","5214.35","-0.04"
"34818c03-541e-4417-b11a-1f7eacf8908b","jake guentzel","239","4188.77","0.45"
"e37492f6-f333-4376-a30e-cb4d05af847e","jake mccabe","186","3681.76","0"
"a17deaa0-63c8-47a4-a46c-8a10fa2fa0df","jake muzzin","238","5177.9","0.04"
"d50d7825-fe39-4e49-b684-35dd1dbdf91b","jake virtanen","151","1980.56","-0.14"
"783b497b-754d-4ce3-9ff5-b877e1f8e6bf","jakob chychrun","170","3200.85","-0.04"
"58cd0804-7be2-4189-a88b-a6ae00a4f418","jakob silfverberg","248","4461.53","0.22"
"4473f15a-a030-440d-9a42-3a045096a4e1","jakub voracek","245","4666.67","0.22"
"47dd6486-577f-4881-953b-ddf47f216f1c","jakub vrana","195","2519.25","0.32"
"cdf47757-b9bb-43d5-a97b-c650e010da10","james neal","243","4071.96","0.14"
"05fc7ed0-3c4a-4ab7-a9d5-711aff8615bd","jamie benn","236","4523","0.22"
"e2764d01-b6bb-4c8d-8c20-3d649045c5c6","jamie oleksiak","176","2770.07","0.04"
"a168802e-47a3-4b82-a389-61bee0ad5f0f","jan rutta","92","1634.88","-0.04"
"8b022409-01cd-44e1-af0e-55215b149fac","jared mccann","173","2334.67","0.09"
"915307b7-7be4-4d41-8fec-6c12227a6dc5","jared spurgeon","227","5494.42","0.22"
"1415e6ca-d6d3-4854-8b46-a243117d69c1","jason demers","182","3685.29","-0.09"
"c52013fb-97fc-4383-b36a-33face6b40c2","jason dickinson","102","1217.5","0.04"
"d2c27afa-da86-4734-add3-973f7ddd1d03","jason spezza","220","3094.89","0.14"
"615309e8-82a7-4b18-8b04-aff14c46c932","jason zucker","250","4118.97","0.36"
"0a9dd300-1e09-4713-b591-922f4b35505f","jay beagle","249","3256.91","-0.22"
"865b67b4-4008-44cb-a343-546ba2ac8805","jay bouwmeester","203","4359.83","-0.18"
"bee65638-18a0-4ed5-bde6-beec9facc40b","jayson megna","58","721.18","0.09"
"c220847b-e918-48e2-a824-437bcb8dec15","jean-gabriel pageau","215","3618.83","0"
"2805f767-aa23-4a7d-a17f-c54d17761536","jeff carter","187","3387.31","-0.04"
"cda8bb90-a1d1-4e7c-beab-3846f273b293","jeff petry","247","5664.85","0.04"
"005149e6-51e6-4aaa-850b-de0d238c3e4a","jeff skinner","241","4256.68","0.5"
"719d4ef4-0a62-4435-81dc-104d79a24b28","jesper bratt","126","1916.7","0.04"
"3ffc75eb-e646-4314-91e5-2a977944ed78","jesper fast","217","3212.05","0.04"
"7350442e-af53-4514-99be-671b2ab3c6ec","jesperi kotkaniemi","76","1053.35","0.22"
"bc65ca43-cfbd-4864-9c8a-3f8ea2ef6f1c","jimmy vesey","250","3665.67","0"
"b0286b5b-c997-4cd2-afd1-c2f8b450332b","joakim nordstrom","225","2751.96","-0.09"
"9d20e5f0-58ae-4568-9010-e399c106610c","joakim ryan","108","1628.07","0"
"ad7e043e-5a24-4ef1-9dfd-e86f61e62e9e","joel armia","203","2856.3","0.09"
"e3ea4839-a1b7-4e18-ac55-95842a0ca2f4","joel edmundson","211","4096.13","-0.09"
"76e4db68-33b5-41df-a53c-d8664199d4e5","joel eriksson ek","154","1955.99","0.22"
"64efa753-75ec-4e81-bbc9-ee52cc86fa40","joe pavelski","251","4834.25","0.45"
"16630f39-7692-4927-8c55-a9f21dd842f9","joe thornton","200","3445.97","0.27"
"bab85827-ef5b-4d71-a853-1f60310e72bb","johan larsson","187","2747.08","-0.18"
"b1a028f1-c6ff-40ad-930d-dc0d5c022feb","john carlson","268","6505.2","0.09"
"7ed1a4ed-b47c-45b0-bf86-72f941302e28","john gilmour","33","561.31","0.18"
"91eedbbb-de6a-422b-9835-17446eec4486","john hayden","111","1125.36","0"
